"g"|"16805953"|"4761729"
"p"|"16805956"|"4761761"
"p"|"16805969"|"4761730"
"t"|"16805970"|"4761794"
"g"|"16805970"|"4761762"
"g"|"16805987"|"4761731"
"p"|"16806055"|"4761735"
"p"|"16806071"|"4761799"
"t"|"16806072"|"4761831"
"g"|"16806073"|"4761736"
"g"|"16806086"|"4761832"
"p"|"16806087"|"4761737"
"p"|"16806103"|"4761801"
"g"|"16806171"|"4761837"
"t"|"16806171"|"4761742"
"p"|"16806173"|"4761774"
"t"|"16806187"|"4761775"
"g"|"16806187"|"4761743"
"g"|"16806188"|"4761807"
|"16806189"|"4761839"
|"16806190"|"4761744"
"g"|"16806203"|"4761840"
"t"|"16806203"|"4761745"
|"16806240"|"4761842"
"g"|"16806287"|"4761782"
"p"|"16806288"|"4761814"
"g"|"16806289"|"4761846"
"t"|"16806289"|"4761751"
"p"|"16806304"|"4761784"
|"16806305"|"4761848"
|"16806305"|"4761816"
|"16806306"|"4761785"
|"16806306"|"4761753"
"g"|"16806307"|"4761817"
"g"|"16806354"|"4761820"
|"16806356"|"4761852"
|"16806356"|"4761757"
"p"|"16806390"|"4761759"
"t"|"16806404"|"4761824"
"g"|"16806404"|"4761792"
"g"|"16806405"|"4761856"
"t"|"16805957"|"4761793"
"g"|"16805982"|"4761826"
"g"|"16806000"|"4761764"
"g"|"16806016"|"4761765"
"t"|"16806043"|"4761798"
"g"|"16806057"|"4761767"
"p"|"16806100"|"4761769"
"p"|"16806132"|"4761739"
"g"|"16806152"|"4761836"
"g"|"16806159"|"4761773"
"p"|"16806161"|"4761805"
"p"|"16806184"|"4761838"
"p"|"16806191"|"4761776"
"p"|"16806218"|"4761746"
|"16806275"|"4761813"
"g"|"16806277"|"4761750"
"g"|"16806300"|"4761847"
"g"|"16806334"|"4761819"
"p"|"16806361"|"4761821"
|"16806391"|"4761823"
|"16806391"|"4761791"
"g"|"16806393"|"4761760"
"t"|"16805997"|"4761827"
"g"|"16805997"|"4761795"
"p"|"16806013"|"4761796"
"g"|"16806014"|"4761828"
"t"|"16806014"|"4761733"
|"16806029"|"4761829"
"t"|"16806030"|"4761734"
"g"|"16806045"|"4761830"
"g"|"16806113"|"4761833"
"t"|"16806115"|"4761770"
"g"|"16806115"|"4761738"
"t"|"16806129"|"4761802"
"g"|"16806130"|"4761834"
|"16806145"|"4761772"
|"16806145"|"4761740"
"g"|"16806146"|"4761804"
|"16806212"|"4761777"
"p"|"16806213"|"4761809"
"g"|"16806231"|"4761810"
"g"|"16806245"|"4761779"
|"16806246"|"4761811"
"p"|"16806247"|"4761843"
"g"|"16806248"|"4761748"
"p"|"16806262"|"4761749"
|"16806299"|"4761815"
|"16806299"|"4761783"
"g"|"16806329"|"4761850"
"a"|"16806347"|"4761788"
|"16806362"|"4761853"
|"16806362"|"4761758"
"g"|"16806363"|"4761790"
"g"|"16806364"|"4761822"
"g"|"16805960"|"4761825"
"g"|"16805992"|"4761763"
"p"|"16805999"|"4761732"
"p"|"16806026"|"4761797"
"p"|"16806042"|"4761766"
"t"|"16806085"|"4761800"
"g"|"16806085"|"4761768"
"t"|"16806142"|"4761803"
"g"|"16806142"|"4761771"
"p"|"16806144"|"4761835"
"t"|"16806158"|"4761741"
|"16806183"|"4761806"
"g"|"16806201"|"4761808"
|"16806217"|"4761841"
"g"|"16806219"|"4761778"
"a"|"16806244"|"4761747"
"g"|"16806258"|"4761780"
"t"|"16806260"|"4761844"
"g"|"16806260"|"4761812"
"g"|"16806274"|"4761781"
"p"|"16806276"|"4761845"
"g"|"16806303"|"4761752"
"p"|"16806317"|"4761849"
"g"|"16806319"|"4761754"
|"16806328"|"4761818"
|"16806328"|"4761786"
|"16806333"|"4761787"
|"16806333"|"4761755"
"g"|"16806335"|"4761851"
"p"|"16806344"|"4761756"
"g"|"16806360"|"4761789"
"g"|"16806376"|"4761854"
"g"|"16806392"|"4761855"
